Date,Submitted By,Capacity (kWp),Project Type,File Name,Time Taken
26-08-2026 17:06,—,100.44,CAPEX,Proposal_CAPEX_Yes_Bank_10044kWp_26_Aug_2026.docx,—
26-08-2026 17:07,—,655.96,CAPEX,Proposal_CAPEX_Primex_Plastics_Pvt_Ltd_65596kWp_26_Aug_2026.docx,—
26-08-2026 17:17,—,655.96,CAPEX,Proposal_CAPEX_Primex_Plastics_Pvt_Ltd_65596kWp_26_Aug_2026.docx,—
26-08-2026 17:25,—,"1,000.68",CAPEX,Proposal_CAPEX_Oriental_Aromatics_Pvt_Ltd_100068kWp_26_Aug_2026.docx,—
26-08-2026 17:32,Carl Aaron,"1,000.68",CAPEX,Proposal_CAPEX_Oriental_Aromatics_Pvt_Ltd_100068kWp_26_Aug_2026.docx,—
26-08-2026 17:42,Carl Aaron,655.96,CAPEX,Proposal_CAPEX_Primex_Plastics_Pvt_Ltd_65596kWp_26_Aug_2026.docx,—
26-08-2026 17:55,Carl Aaron,"1,000.68 kWp",OPEX,Proposal_OPEX_DCM_Shriram__830_100068kWpkWp_26_Aug_2026.docx,—
26-08-2026 18:05,Carl Aaron,"1,000.68 kWp",OPEX,Proposal_OPEX_DCM_Shriram__830_100068kWpkWp_26_Aug_2026.docx,1m 5s
26-08-2026 18:10,Carl Aaron,"1,000.68 kWp",OPEX,Proposal_OPEX_DCM_Shriram__830_100068kWpkWp_26_Aug_2026.docx,2m 7s
26-08-2026 18:19,Carl Aaron,"1,000.68 kWp",OPEX,Proposal_OPEX_DCM_Shriram__830_100068kWpkWp_26_Aug_2026.docx,34s
26-08-2026 18:24,—,"1,000.68 kWp",OPEX,Proposal_OPEX_DCM_Shriram__830_100068kWpkWp_26_Aug_2026.docx,3m 8s
26-08-2026 18:25,—,"1,000.68 kWp",OPEX,Proposal_OPEX_DCM_Shriram__830_100068kWpkWp_26_Aug_2026.docx,15s
26-08-2026 18:26,Carl Aaron,"1,000.68 kWp",OPEX,Proposal_OPEX_DCM_Shriram__830_100068kWpkWp_26_Aug_2026.docx,19s
26-08-2026 18:28,Carl Aaron,"1,000.68 kWp",OPEX,Proposal_OPEX_DCM_Shriram__830_100068kWpkWp_26_Aug_2026.docx,19s
